Name;Price;URL;idproduto;idgradex;idgradey;descrição;idmarca;iddepartamento;classificacao;idcodigonbm;Ean
Panela de Pressão Panelux 4.5 Litros Alumínio Polida;79,00;https://www.magazineluiza.com.br/panela-de-pressao-panelux-4-5-litros-aluminio-polida/p/ejabdfk910/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela Panelux 4,5 litros Pressão 1029;72,00;https://www.magazineluiza.com.br/panela-panelux-45-litros-pressao-1029/p/hgdj3h0645/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Polida 4,5 Litros Alumínio Polido Classic Inmetro Ref 1029;69,80;https://www.magazineluiza.com.br/panela-de-pressao-panelux-polida-45-litros-aluminio-polido-classic-inmetro-ref-1029/p/kd435b4ef3/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5L Alumínio Polido Alto Brilho Panelux;65,79;https://www.magazineluiza.com.br/panela-de-pressao-45l-aluminio-polido-alto-brilho-panelux/p/gc9j8ak6gb/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5L Alumínio Polido Alto Brilho Panelux;109,20;https://www.magazineluiza.com.br/panela-de-pressao-45l-aluminio-polido-alto-brilho-panelux/p/ad4e79jh9k/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Classic Alumínio Polido 4,5 Litros;75,91;https://www.magazineluiza.com.br/panela-de-pressao-panelux-classic-aluminio-polido-45-litros/p/dk36f45155/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5litros Panelux A Mais Vendida Do Brasil;59,99;https://www.magazineluiza.com.br/panela-de-pressao-45litros-panelux-a-mais-vendida-do-brasil/p/chcjba3k93/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5L Alumínio Polido Alto Brilho Panelux;116,48;https://www.magazineluiza.com.br/panela-de-pressao-45l-aluminio-polido-alto-brilho-panelux/p/heacjfec0c/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela de Pressão Panelux Polida Alumínio 4,5 Litros;102,81;https://www.magazineluiza.com.br/panela-de-pressao-panelux-polida-aluminio-45-litros/p/caj85g1g2h/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela Pressao Panelux 4,5l;83,07;https://www.magazineluiza.com.br/panela-pressao-panelux-45l/p/ac36kb4aba/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Panela De Pressão 4,5L Alumínio Polido Alto Brilho Panelux;121,46;https://www.magazineluiza.com.br/panela-de-pressao-45l-aluminio-polido-alto-brilho-panelux/p/ab62hg9388/ud/udpp/;3007;410;0;PANELA PRESSAO PANELUX 4.5L POLIDA-410-0;184;1060101020;6010102;76151000;7898147771029
Geladeira Consul Cycle Defrost Duplex 334 L com Freezer Supercapacidade CRD37EB - 127V;2699,00;https://www.magazineluiza.com.br/geladeira-consul-cycle-defrost-duplex-334-l-com-freezer-supercapacidade-crd37eb-127v/p/ja9383j56d/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade - CRD37EB;2414,86;https://www.magazineluiza.com.br/geladeira-consul-cycle-defrost-duplex-334-litros-branca-com-freezer-supercapacidade-crd37eb/p/7402150/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira/Refrigerador Consul Cycle Defrost Duplex;2631,06;https://www.magazineluiza.com.br/geladeira-refrigerador-consul-cycle-defrost-duplex-branca-334l-crd37-ebana/p/202957300/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul 334L CRD37EB Cycle Defrost com Freezer Supercapacidade Branca;2549,00;https://www.magazineluiza.com.br/geladeira-consul-334l-crd37eb-cycle-defrost-com-freezer-supercapacidade-branca/p/eh5803fj4f/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul 334L CRD37EB Cycle Defrost com Freezer Supercapacidade Branca;2549,00;https://www.magazineluiza.com.br/geladeira-consul-334l-crd37eb-cycle-defrost-com-freezer-supercapacidade-branca/p/dhkfe0g812/ed/refr/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Geladeira Consul Cycle Defrost Duplex 334 litros Branca com Freezer Supercapacidade CRD37EB - 127V;2699,00;https://www.magazineluiza.com.br/geladeira-consul-cycle-defrost-duplex-334-litros-branca-com-freezer-supercapacidade-crd37eb-127v/p/ca8j29jb2j/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
Refrigerador Consul Duplex 334 Litros Branco CRD37EBANA 127 Volts;2348,00;https://www.magazineluiza.com.br/refrigerador-consul-duplex-334-litros-branco-crd37ebana-127-volts/p/jk6j8h84b5/ed/ref2/;3369;13;1;REFRIG CONSUL CRD37 BR-13-1;59;1010101020;1010102;84181000;7891129195448
